日付,始値,高値,安値,終値,出来高,売買代金
2017-09-29,794.00,803.00,790.00,803.00,7700,6138300
2017-09-28,795.00,803.00,793.00,802.00,8400,6696900
2017-09-27,790.00,798.00,781.00,795.00,10900,8629800
2017-09-26,762.00,776.00,762.00,775.00,4100,3160800
2017-09-25,780.00,786.00,755.00,764.00,13600,10449200
2017-09-22,771.00,783.00,768.00,768.00,4900,3786500
2017-09-21,784.00,788.00,773.00,780.00,5400,4229300
2017-09-20,778.00,785.00,777.00,777.00,4400,3433300
2017-09-19,764.00,785.00,764.00,783.00,10100,7812200
2017-09-15,759.00,773.00,759.00,762.00,3100,2370900
2017-09-14,776.00,776.00,755.00,766.00,16400,12536400
2017-09-13,764.00,776.00,764.00,768.00,4400,3398800
2017-09-12,763.00,770.00,758.00,763.00,5700,4353400
2017-09-11,748.00,765.00,745.00,763.00,4600,3476800
2017-09-08,761.00,761.00,745.00,753.00,7400,5572200
2017-09-07,761.00,770.00,743.00,767.00,8600,6559400
2017-09-06,745.00,765.00,738.00,764.00,11300,8477800
2017-09-05,776.00,781.00,756.00,760.00,11400,8712400
2017-09-04,799.00,799.00,771.00,785.00,10900,8487400
2017-09-01,780.00,807.00,780.00,803.00,15300,12126700
2017-08-31,800.00,804.00,788.00,788.00,10500,8372200
2017-08-30,793.00,803.00,788.00,803.00,8000,6387800
2017-08-29,793.00,800.00,781.00,793.00,4100,3251600
2017-08-28,801.00,804.00,788.00,793.00,5100,4066200
2017-08-25,786.00,801.00,785.00,785.00,2300,1822100
2017-08-24,797.00,800.00,776.00,800.00,7600,5980400
2017-08-23,775.00,797.00,775.00,797.00,3400,2672700
2017-08-22,772.00,778.00,743.00,775.00,9400,7174900
2017-08-21,815.00,815.00,777.00,777.00,7700,6119600
2017-08-18,810.00,810.00,794.00,803.00,7700,6179000
2017-08-17,782.00,814.00,782.00,810.00,11500,9188300
2017-08-16,764.00,788.00,764.00,788.00,5100,3984300
2017-08-15,760.00,770.00,759.00,767.00,6000,4576800
2017-08-14,761.00,784.00,755.00,766.00,11500,8810100
2017-08-10,810.00,810.00,785.00,793.00,15800,12572100
2017-08-09,813.00,815.00,802.00,811.00,11800,9538100
2017-08-08,814.00,826.00,814.00,819.00,5400,4415500
2017-08-07,827.00,830.00,808.00,829.00,12200,10076400
2017-08-04,815.00,826.00,807.00,826.00,6000,4879800
2017-08-03,817.00,823.00,816.00,816.00,3700,3029200
2017-08-02,813.00,829.00,813.00,823.00,5900,4829600
2017-08-01,822.00,825.00,810.00,815.00,14500,11839700
2017-07-31,839.00,839.00,816.00,833.00,12500,10319400
2017-07-28,863.00,865.00,842.00,842.00,15600,13282500
2017-07-27,870.00,870.00,860.00,866.00,11200,9696100
2017-07-26,861.00,866.00,859.00,866.00,22200,19146300
2017-07-25,866.00,867.00,856.00,860.00,16700,14411800
2017-07-24,853.00,869.00,853.00,865.00,25600,22107900
2017-07-21,875.00,875.00,848.00,852.00,31500,27037400
2017-07-20,846.00,888.00,846.00,874.00,91100,78822000
2017-07-19,799.00,853.00,799.00,847.00,44700,37015900
2017-07-18,802.00,808.00,800.00,800.00,8900,7162500
2017-07-14,797.00,815.00,785.00,800.00,14800,11811100
2017-07-13,804.00,813.00,795.00,799.00,12100,9747600
2017-07-12,817.00,819.00,805.00,807.00,12200,9897000
2017-07-11,785.00,809.00,780.00,802.00,33500,26734200
